rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
5.81,0460,anxiety,7.0,6.404999999999999,0.8414570696119918,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.48,1283,anxiety,7.0,6.24,1.074802307403552,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.58,1037,anxiety,6.61,6.095000000000001,0.7283199846221442,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.72,0489,anxiety,4.34,4.529999999999999,0.268700576850888,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.95,1402,anxiety,1.38,1.665,0.40305086527633216,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.12,0491,anxiety,1.0,1.56,0.7919595949289333,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.85,0115,anxiety,5.21,5.029999999999999,0.2545584412271574,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.11,0730,anxiety,4.56,4.835,0.38890872965260165,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0395,anxiety,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.79,0911,anxiety,5.82,5.805,0.0212132034355966,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.75,1642,anxiety,6.15,5.95,0.2828427124746193,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.48,0969,anxiety,4.72,5.1,0.5374011537017765,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.97,0722,anxiety,6.06,6.015,0.06363961030678918,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1492,anxiety,3.56,5.28,2.4324473272817237,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.97,1114,anxiety,4.82,4.895,0.10606601717798175,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.4,0271,anxiety,3.57,3.9850000000000003,0.5868986283848348,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.41,0522,anxiety,3.18,3.795,0.8697413408594534,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1737,anxiety,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0190,anxiety,6.5,6.75,0.3535533905932738,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0377,anxiety,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.02,0744,anxiety,4.62,4.82,0.2828427124746186,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.53,1777,anxiety,4.72,4.625,0.1343502884254437,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,2121,anxiety,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.88,2130,anxiety,4.72,4.8,0.1131370849898477,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0046,anxiety,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.05,0648,anxiety,5.86,5.455,0.5727564927611039,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1767,anxiety,7.0,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.83,0548,anxiety,6.07,5.95,0.16970562748477155,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.66,1679,anxiety,6.12,5.890000000000001,0.3252691193458118,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.0,0758,anxiety,1.0,1.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
,0911,anxiety,6.35,6.35,,vTreiIt2JuefuP24EEhz5QRXwyq2
6.94,0548,anxiety,5.86,6.4,0.7636753236814714,vTreiIt2JuefuP24EEhz5QRXwyq2
6.98,1767,anxiety,6.76,6.87,0.1555634918610409,vTreiIt2JuefuP24EEhz5QRXwyq2
2.72,1037,anxiety,2.89,2.805,0.12020815280171303,vTreiIt2JuefuP24EEhz5QRXwyq2
1.0,0271,anxiety,1.48,1.24,0.33941125496954283,vTreiIt2JuefuP24EEhz5QRXwyq2
2.74,1402,anxiety,3.49,3.115,0.5303300858899106,vTreiIt2JuefuP24EEhz5QRXwyq2
2.74,0115,anxiety,2.83,2.785,0.06363961030678918,vTreiIt2JuefuP24EEhz5QRXwyq2
6.05,0648,anxiety,3.68,4.865,1.6758430714121173,vTreiIt2JuefuP24EEhz5QRXwyq2
,0460,anxiety,6.41,6.41,,vTreiIt2JuefuP24EEhz5QRXwyq2
6.47,0744,anxiety,5.89,6.18,0.4101219330881976,vTreiIt2JuefuP24EEhz5QRXwyq2
6.14,0489,anxiety,5.05,5.595,0.7707463914933367,vTreiIt2JuefuP24EEhz5QRXwyq2
5.39,1777,anxiety,5.83,5.609999999999999,0.3111269837220812,vTreiIt2JuefuP24EEhz5QRXwyq2
6.51,0730,anxiety,6.11,6.3100000000000005,0.2828427124746186,vTreiIt2JuefuP24EEhz5QRXwyq2
6.72,2130,anxiety,4.96,5.84,1.2445079348883235,vTreiIt2JuefuP24EEhz5QRXwyq2
6.38,0190,anxiety,6.8,6.59,0.2969848480983499,vTreiIt2JuefuP24EEhz5QRXwyq2
3.1,0491,anxiety,3.34,3.2199999999999998,0.16970562748477125,vTreiIt2JuefuP24EEhz5QRXwyq2
4.39,1642,anxiety,3.13,3.76,0.8909545442950497,vTreiIt2JuefuP24EEhz5QRXwyq2
6.12,0395,anxiety,6.81,6.465,0.48790367901871745,vTreiIt2JuefuP24EEhz5QRXwyq2
6.14,1283,anxiety,6.7,6.42,0.39597979746446693,vTreiIt2JuefuP24EEhz5QRXwyq2
6.88,0969,anxiety,5.29,6.085,1.1242997820866105,vTreiIt2JuefuP24EEhz5QRXwyq2
7.0,1492,anxiety,5.42,6.21,1.1172287142747452,vTreiIt2JuefuP24EEhz5QRXwyq2
,1114,anxiety,5.93,5.93,,vTreiIt2JuefuP24EEhz5QRXwyq2
5.98,1737,anxiety,6.2,6.09,0.15556349186104027,vTreiIt2JuefuP24EEhz5QRXwyq2
,1679,anxiety,5.79,5.79,,vTreiIt2JuefuP24EEhz5QRXwyq2
6.86,0046,anxiety,6.71,6.785,0.10606601717798238,vTreiIt2JuefuP24EEhz5QRXwyq2
4.56,0522,anxiety,5.1,4.83,0.3818376618407357,vTreiIt2JuefuP24EEhz5QRXwyq2
6.47,0377,anxiety,6.1,6.285,0.26162950903902266,vTreiIt2JuefuP24EEhz5QRXwyq2
6.97,2121,anxiety,6.7,6.835,0.19091883092036754,vTreiIt2JuefuP24EEhz5QRXwyq2
6.52,0722,anxiety,5.63,6.074999999999999,0.629325035256027,vTreiIt2JuefuP24EEhz5QRXwyq2
4.88,0758,anxiety,1.88,3.38,2.1213203435596424,vTreiIt2JuefuP24EEhz5QRXwyq2
6.99,0377,anxiety,6.93,6.96,0.0424264068711932,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.93,0522,anxiety,5.85,5.89,0.05656854249492385,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,1737,anxiety,6.99,6.995,0.007071067811865324,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.1,0489,anxiety,5.53,5.8149999999999995,0.40305086527633166,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,1114,anxiety,6.46,6.73,0.3818376618407357,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,0395,anxiety,6.9,6.95,0.0707106781186545,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.84,0730,anxiety,5.67,5.755,0.12020815280171303,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2.5,1402,anxiety,4.87,3.685,1.6758430714121177,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.99,0722,anxiety,6.88,6.9350000000000005,0.07778174593052045,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.46,1642,anxiety,5.06,5.26,0.2828427124746193,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.05,0491,anxiety,6.03,6.04,0.014142135623730649,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.83,2130,anxiety,6.06,6.445,0.5444722215136419,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,0190,anxiety,6.95,6.975,0.03535533905932725,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.1,0548,anxiety,5.86,5.98,0.16970562748477094,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,1679,anxiety,6.43,6.715,0.40305086527633227,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,1283,anxiety,7.0,7.0,0.0,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.83,0271,anxiety,4.52,5.175,0.9263098833543776,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,0460,anxiety,6.87,6.9350000000000005,0.0919238815542511,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
2.0,1037,anxiety,4.44,3.22,1.7253405460951763,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.99,0911,anxiety,5.66,5.825,0.23334523779156074,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.97,1767,anxiety,6.96,6.965,0.007071067811865324,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.13,1777,anxiety,4.65,4.890000000000001,0.3394112549695425,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.99,0648,anxiety,5.69,5.84,0.21213203435596412,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
5.02,0969,anxiety,4.83,4.925,0.1343502884254437,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
4.98,1492,anxiety,4.53,4.755000000000001,0.3181980515339465,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,2121,anxiety,7.0,7.0,0.0,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
4.83,0115,anxiety,4.53,4.68,0.21213203435596412,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
6.9,0744,anxiety,6.89,6.895,0.007071067811865952,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
7.0,0046,anxiety,6.68,6.84,0.2262741699796954,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
4.61,0758,anxiety,4.67,4.640000000000001,0.042426406871192576,v1YJ7EKlcFYhpoToZJgLzd7nTIB3
4.96,0969,anxiety,4.62,4.79,0.24041630560342606,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2.98,1642,anxiety,3.24,3.1100000000000003,0.1838477631085025,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2.96,2130,anxiety,3.25,3.105,0.2050609665440988,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2.93,0190,anxiety,4.26,3.5949999999999998,0.9404520189781079,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2.81,0491,anxiety,3.09,2.95,0.19798989873223316,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.01,1492,anxiety,5.8,5.404999999999999,0.5586143571373726,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.83,0046,anxiety,4.11,4.470000000000001,0.5091168824543141,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.4,0489,anxiety,2.89,2.145,1.053589103967956,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.97,0548,anxiety,5.83,5.9,0.09899494936611643,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
3.42,0460,anxiety,2.15,2.785,0.8980256121069153,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.6,0911,anxiety,2.26,3.4299999999999997,1.654629867976521,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.93,0271,anxiety,2.03,1.98,0.07071067811865465,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.36,0522,anxiety,4.61,4.485,0.1767766952966369,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.3,1283,anxiety,5.06,4.68,0.537401153701776,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.95,1402,anxiety,2.08,2.015,0.09192388155425125,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.12,0744,anxiety,5.16,5.140000000000001,0.028284271247461926,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.96,1737,anxiety,2.46,2.21,0.3535533905932738,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.51,1767,anxiety,5.74,5.625,0.16263455967290624,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.99,1037,anxiety,5.99,5.49,0.7071067811865476,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
6.0,1114,anxiety,5.77,5.885,0.16263455967290624,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.46,0377,anxiety,4.92,5.1899999999999995,0.3818376618407357,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
3.87,0722,anxiety,5.0,4.4350000000000005,0.7990306627407986,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.29,0395,anxiety,2.59,3.44,1.2020815280171309,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.86,0730,anxiety,5.13,5.495,0.51618795026618,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
2.55,2121,anxiety,2.66,2.605,0.07778174593052045,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
3.82,1679,anxiety,4.82,4.32,0.7071067811865478,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.94,0648,anxiety,5.47,5.705,0.33234018715767777,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
5.49,1777,anxiety,4.33,4.91,0.8202438661763952,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
1.76,0758,anxiety,1.88,1.8199999999999998,0.08485281374238562,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
4.4,0115,anxiety,5.05,4.725,0.45961940777125554,UYOG7BpRTVMWaq9SYiEf3oAHUSG3
7.0,0377,anxiety,6.97,6.984999999999999,0.0212132034355966,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.02,1767,anxiety,7.0,6.51,0.6929646455628169,ImtyU7Np9RZdaz4zDybL67yuJrB3
1.0,0522,anxiety,4.96,2.98,2.8001428534987283,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.18,0722,anxiety,7.0,6.59,0.5798275605729691,ImtyU7Np9RZdaz4zDybL67yuJrB3
1.04,0969,anxiety,1.97,1.505,0.6576093065034891,ImtyU7Np9RZdaz4zDybL67yuJrB3
7.0,0489,anxiety,5.47,6.234999999999999,1.081873375215418,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.69,0491,anxiety,6.95,6.82,0.1838477631085022,ImtyU7Np9RZdaz4zDybL67yuJrB3
5.3,0548,anxiety,5.96,5.63,0.4666904755831215,ImtyU7Np9RZdaz4zDybL67yuJrB3
1.17,1402,anxiety,5.06,3.1149999999999998,2.7506453788156695,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.79,0395,anxiety,7.0,6.895,0.14849242404917495,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.01,1737,anxiety,5.34,5.675,0.4737615433949868,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.51,1777,anxiety,7.0,6.755,0.34648232278140845,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.86,2130,anxiety,6.97,6.915,0.07778174593051983,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.73,0115,anxiety,7.0,6.865,0.19091883092036754,ImtyU7Np9RZdaz4zDybL67yuJrB3
2.0,0758,anxiety,1.0,1.5,0.7071067811865476,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.78,1114,anxiety,7.0,6.890000000000001,0.15556349186104027,ImtyU7Np9RZdaz4zDybL67yuJrB3
5.97,1679,anxiety,6.86,6.415,0.6293250352560277,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.07,0648,anxiety,6.93,6.5,0.6081118318204305,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.17,1642,anxiety,6.41,6.29,0.16970562748477155,ImtyU7Np9RZdaz4zDybL67yuJrB3
5.38,0911,anxiety,7.0,6.1899999999999995,1.145512985522207,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.53,0744,anxiety,5.99,6.26,0.3818376618407357,ImtyU7Np9RZdaz4zDybL67yuJrB3
5.99,2121,anxiety,5.97,5.98,0.014142135623731277,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.0,0190,anxiety,7.0,6.5,0.7071067811865476,ImtyU7Np9RZdaz4zDybL67yuJrB3
3.96,1037,anxiety,4.12,4.04,0.1131370849898477,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.04,1283,anxiety,7.0,6.52,0.6788225099390857,ImtyU7Np9RZdaz4zDybL67yuJrB3
1.0,0271,anxiety,1.93,1.4649999999999999,0.6576093065034891,ImtyU7Np9RZdaz4zDybL67yuJrB3
5.95,0460,anxiety,7.0,6.475,0.7424621202458748,ImtyU7Np9RZdaz4zDybL67yuJrB3
6.17,1492,anxiety,6.27,6.22,0.0707106781186545,ImtyU7Np9RZdaz4zDybL67yuJrB3
7.0,0730,anxiety,7.0,7.0,0.0,ImtyU7Np9RZdaz4zDybL67yuJrB3
7.0,0046,anxiety,6.86,6.93,0.09899494936611643,ImtyU7Np9RZdaz4zDybL67yuJrB3
,0730,anxiety,6.47,6.47,,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.84,0911,anxiety,4.42,5.63,1.711198410471445,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.81,1737,anxiety,6.29,6.55,0.3676955262170044,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.54,1283,anxiety,6.71,6.625,0.12020815280171303,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.69,0722,anxiety,5.89,6.29,0.5656854249492386,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.82,1114,anxiety,5.88,6.35,0.664680374315355,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
5.36,1037,anxiety,5.43,5.395,0.049497474683057895,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
4.41,1492,anxiety,5.48,4.945,0.7566042558696061,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.47,0046,anxiety,6.29,6.38,0.12727922061357835,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
4.98,1402,anxiety,4.46,4.720000000000001,0.367695526217005,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
4.95,0744,anxiety,5.54,5.245,0.41719300090006295,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
2.9,0522,anxiety,3.69,3.295,0.5586143571373726,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
5.01,1642,anxiety,6.42,5.715,0.9970205614730321,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
5.94,0648,anxiety,6.64,6.29,0.49497474683058273,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.76,1767,anxiety,6.63,6.695,0.0919238815542511,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
3.26,0969,anxiety,5.49,4.375,1.5768481220460013,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
1.81,1777,anxiety,1.73,1.77,0.05656854249492385,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
5.06,0271,anxiety,5.24,5.15,0.127279220613579,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.43,0190,anxiety,6.49,6.46,0.0424264068711932,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.88,0548,anxiety,6.77,6.824999999999999,0.07778174593052045,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.64,0491,anxiety,4.69,5.665,1.3788582233137672,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.34,1679,anxiety,6.65,6.495,0.2192031021678301,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
3.22,0758,anxiety,4.63,3.925,0.9970205614730319,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.86,0377,anxiety,6.96,6.91,0.0707106781186545,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.59,0115,anxiety,6.12,6.355,0.33234018715767716,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.4,0460,anxiety,7.0,6.7,0.4242640687119283,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
4.17,2130,anxiety,5.41,4.79,0.876812408671319,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.95,0395,anxiety,6.83,6.890000000000001,0.08485281374238578,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.74,0489,anxiety,6.02,6.38,0.5091168824543147,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.99,2121,anxiety,6.72,6.855,0.19091883092036815,cOGoVG6nRrfmZFFNsDYm55hT8Bx2
6.04,0911,anxiety,4.97,5.505,0.7566042558696061,aoee4EeXKFMjaH2Kj9IpJu6eC1I3
6.0,0377,anxiety,5.07,5.535,0.657609306503489,aoee4EeXKFMjaH2Kj9IpJu6eC1I3
2.86,2130,anxiety,4.09,3.4749999999999996,0.8697413408594534,aoee4EeXKFMjaH2Kj9IpJu6eC1I3
5.02,1777,anxiety,4.99,5.005,0.021213203435595972,aoee4EeXKFMjaH2Kj9IpJu6eC1I3
1.0,1642,anxiety,1.01,1.005,0.007071067811865481,aoee4EeXKFMjaH2Kj9IpJu6eC1I3
2.96,0522,anxiety,1.0,1.98,1.3859292911256331,aoee4EeXKFMjaH2Kj9IpJu6eC1I3
1.0,1402,anxiety,1.01,1.005,0.007071067811865481,aoee4EeXKFMjaH2Kj9IpJu6eC1I3
